COD_MUNICIPIO;TOTAL_ESTABELECIMENTOS;ESTABELECIMENTOS_HOSPITALARES;ESTABELECIMENTOS_SUS;LATITUDE_MEDIA;LONGITUDE_MEDIA
314800;876;8;108;-18.587013613415532;-46.51418483103895
314810;339;7;54;-18.942235066619386;-46.99067454200185
314820;19;1;11;-21.15223064061765;-42.21191081648235
314830;38;0;9;-20.87036586827941;-42.97365224935294
314840;8;0;4;-18.43412905;-42.871026875
314850;17;1;10;-17.43228192886875;-41.0078008041625
314860;43;1;12;-18.54779411366923;-42.559657467971796
314870;62;1;25;-15.99244564135577;-41.27711978877692
314875;15;0;8;-20.518283966093335;-42.33640292283334
314880;11;0;6;-20.59654670844;-42.71447243473
314890;11;0;4;-20.26566273585;-45.21446387315
314900;10;0;6;-20.83165734;-42.15508742
314910;39;1;13;-22.24544503475128;-45.46760915672821
314915;14;0;9;-15.615012894264286;-44.363271359900004
314920;9;0;5;-19.2291920068;-47.46565818785555
314930;201;2;38;-19.618000642860714;-44.04074587773929
314940;5;0;4;-21.697794406619998;-43.7497076003
314950;11;0;5;-21.807120701663635;-43.11725140525454
314960;17;0;9;-19.629897568325;-44.6611197214
314970;22;0;15;-19.951460497186364;-45.08152915322727
314980;47;1;18;-19.359141665566668;-47.28732440671777
314990;72;1;17;-21.106783248240582;-45.08870950792174
314995;12;0;8;-19.17075909981818;-42.280694257036366
315000;21;0;5;-18.35527576250476;-41.59752134171905
315010;7;0;4;-21.6515537109;-43.60664248178572
315015;13;0;8;-19.61337125;-42.209682208333334
315020;12;0;6;-20.23378057635;-42.6981688019
315030;17;0;9;-21.315143322117645;-44.19181378811765
315040;12;0;7;-20.47214125;-44.242200975
315050;31;1;15;-20.45587350388387;-45.761013547348384
315053;11;0;3;-19.703841045454546;-42.39417652727273
315057;12;0;3;-16.04054192550909;-45.153258424572726
315060;22;0;9;-20.50751587999091;-44.47501750282272
315070;10;0;3;-19.9078904;-48.7003135
315080;49;1;18;-20.67234890781915;-43.29820224934681
315090;17;0;3;-22.52700248197857;-45.48025443381429
315100;27;0;8;-22.402771744091307;-45.53392241813913
315110;30;1;6;-21.661367349206895;-42.347700063503446
315120;163;2;57;-17.33657753422112;-44.926839429834786
315130;50;0;10;-21.26750875094091;-43.02880023220227
315140;154;1;18;-19.677326772138255;-44.89778149579933
315150;185;2;43;-20.466580608368336;-45.960842415866665
315160;26;0;10;-20.26292331923077;-48.61581933846154
315170;71;1;23;-21.78439569463803;-45.96389422318028
315180;1169;16;113;-21.78916561166564;-46.56657982299956
315190;14;1;7;-19.58384448462143;-41.62893260793572
315200;86;1;15;-19.221064377341097;-45.000701613709595
315210;360;3;62;-20.407648701832613;-42.90535071960462
315213;11;0;5;-16.63037847100909;-45.064318006336364
315217;17;0;12;-16.75280502534375;-41.50423160248125
315220;101;2;31;-15.737233916147726;-43.024910043945454
315230;19;0;13;-20.665155305733336;-43.090613688033336
315240;23;1;12;-17.801160511815;-41.714628955180004
315250;1636;7;59;-22.22960309024507;-45.931341987942524
315260;27;1;8;-22.202290230725925;-44.96759719857778
315270;15;1;8;-21.059840199007144;-44.08407519435
315280;71;1;17;-19.313979942350723;-48.92103418520145
315290;21;1;8;-20.749392311325;-46.858370267245
315300;11;0;5;-19.752352063636362;-46.38359443636364
315310;20;0;9;-20.76747;-43.187619999999995
315320;8;0;5;-18.6380045;-44.0633325
315330;6;0;6;-18.620457913366668;-43.580779173483336
315340;41;1;14;-18.411293424231033;-46.40273720315862
315350;26;1;10;-20.426182697576;-41.963864942092
315360;15;0;8;-19.481518526992858;-44.154391877092856
